codigoinsitucion,nombreinstitucion,nitinstitucion,codigopadreinstitucion,tipoinstitucion,codigodepartamento,nombredeparamento,codigomunicipio,nombremunicipio,codigoordeninstitucional,nombreordeninstitucional,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracterinstitucional,nombrecaracterinstitucional,codigotipoacreditacion,nombretipoacreditacion,codigotipomarcocreacion,numeromarcocreacion,nombretipomarcocreacion
9112,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,899.999.034-1,9110,SECCIONAL,5,ANTIOQUIA,5001,MEDELLIN,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,30,NO INFORMA
3720,FUNDACION UNIVERSITARIA ESUMER,890981796-1,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,2389,RESOLUCION
3817,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-,NO INFORMA,,PRINCIPAL,52,NARINIO,52001,PASTO,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1054,RESOLUCION
2727,FUNDACION UNIVERSITARIA-CEIPA-,890910961-7,,PRINCIPAL,5,ANTIOQUIA,5631,SABANETA,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,6266,RESOLUCION
2825,CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,890.481.276-8,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,6644,RESOLUCION
2708,UNIVERSIDAD CES,890.984.002-6,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,11154,RESOLUCION
1123,UNIVERSIDAD POPULAR DEL CESAR,892.300.285-6,1120,SECCIONAL,20,CESAR,20011,AGUACHICA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,5,34,LEY
1722,UNIVERSIDAD DE MANIZALES,890.086.001-7,,PRINCIPAL,17,CALDAS,17001,MANIZALES,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,314,RESOLUCION
2712,FUNDACION UNIVERSITARIA KONRAD LORENZ,860.504.759-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,18537,RESOLUCION
1828,UNIVERSIDAD ICESI,890.316.745-5,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,11677,RESOLUCION
2847,CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO - UDI,890.212.433-5,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,22195,RESOLUCION
4107,INSTITUTO TECNICO AGRICOLA ITA,800.124.023-4,,PRINCIPAL,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,3,MUNICIPAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,3,603,DECRETO
2106,DIRECCION NACIONAL DE ESCUELAS,900373379-0,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,3,REGISTRO ALTA CALIDAD,5,14,LEY
3809,INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-,860.032.286-7,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,1667,RESOLUCION
3803,CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES,NO INFORMA,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,7464,RESOLUCION
1706,UNIVERSIDAD EXTERNADO DE COLOMBIA,860.014.918-7,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,92,RESOLUCION
4705,FUNDACION CENTRO DE EDUCACION SUPERIORINVESTIGACION Y PROFESIONALIZACION -CEDINPRO-,860.512.509-4,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,1000,RESOLUCION
2207,INSTITUTO UNIVERSITARIO DE LA PAZ,800.024.581-3,,PRINCIPAL,68,SANTANDER,68081,BARRANCABERMEJA,4,DEPARTAMENTAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,331,NO INFORMA
3812,CORPORACION POLITECNICO MARCO FIDEL SUAREZ,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5088,BELLO,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,5060,RESOLUCION
1110,UNIVERSIDAD DEL CAUCA,891.500.319-2,,PRINCIPAL,19,CAUCA,19001,POPAYAN,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,3,0,DECRETO
2745,UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA,860.506.140-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,23635,RESOLUCION
1730,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,1710,SECCIONAL,76,VALLE DEL CAUCA,76520,PALMIRA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,48,RESOLUCION
